measure_label,domain,double,measure_display
7 Minutes Screening Test,Mental Status,,
Abbreviated Mental Test,Mental Status,,
Addenbrookes Cognitive Examination Revised,Mental Status,,
Ages and Stages Questionnaire,General Ability,,
AH4 Group Test of General Intelligence,General Ability,,
Alphabet Coding Task,Processing Speed,,
Alzheimers Disease Assessment Scale,,,
Armed Forces Qualification Test,,,
Armed Services Vocational Aptitude Battery,General Ability,,
Army Alpha,General Ability,,
Autobiographical Memory Interview,Memory,,
Backward Counting Test,Mental Status,,
Backward Digit Span Task,Attention and Working Memory,,
Bayley Scales of Infant and Toddler Development,General Ability,,
Behavior Rating Inventory of Executive Function,,,
Benton Visual Retention Test,Visual Processing,,
Berger Scale,Cognitive Rating,,
Blessed Orientation Memory Concentration Test,Mental Status,,
Boston Naming Test,Fluency and Naming,,
Bracken School Readiness Assessment,General Ability,,
British Ability Scales,General Ability,,
Buschke Cued Recall Procedure,Memory,,
California Verbal Learning Test,Memory,,
Cambridge Cognitive Examination,Mental Status,,
Cambridge Face Memory Test,Mental Status,,
Card Rotation Test,Fluid Reasoning,,
Category Fluency Test,Fluency and Naming,,
CCT Verbal Reasoning,Mental Status,,
CERAD Constructional Praxis Recall,Memory ,,
CERAD Word List Memory,Memory,,
Change in Cognition with Age Questionnaire,Cognitive Rating,,
Choice Reaction Time,Processing Speed,,
Clock Drawing Test,Mental Status,,
Cognitive Abilities Screening Instrument,Mental Status,,
CogState Detection Task,Processing Speed,,
CogState Groton Maze Learning Task,Executive Function,,
CogState Identification Task,Attention and Working Memory,,
CogState One Back Task,Attention and Working Memory,,
CogState One Card Learning Task,Memory ,,
Coin Test,Fluid Reasoning,,
Color Trails Test,Executive Function,,
Community Screening Instrument for Dementia,Executive Function,,
Comprehension Test,Executive Function,,
Continuous Performance Test,Attention and Working Memory,,
Controlled Oral Word Association Test,Fluency and Naming,,
Crossing Off Test,Executive Function,,
Delayed Word Recall,Memory ,,
Denver Developmental Screening Test,Executive Function,,
Diagnostic Illiteracy Scale,General Ability,,
Digit Cancellation Test,Processing Speed,,
Digit Letter Substitution Test,Processing Speed,,
Divided Attention Test,Attention and Working Memory,,
Double Letter Cancellation Test,Visual Processing,,
Dynamic Visual Retention Test,Memory,,
Early Development Instrument,Executive Function,,
Everyday Cognition Scale,General Ability,,
Everyday Problems Test for the Cognitively Challenged Elderly,General Ability,,
Executive Function Test,Executive Function,,
