Study,Start,End,The 5 Objects Test,Autobiographical Memory Interview,Benton Visual Retention Test,Buschke Cued Recall Procedure,CERAD Constructional Praxis Recall,CERAD Word List Memory,California Verbal Learning Test,CogState One Card Learning Task,Dynamic Visual Retention Test,Delayed Word Recall,Forward Digit Span Task,Hopkins Verbal Learning Test,Immediate Recall Word List,MCG Complex Figures,Memory in Reality Test,Memory Impairment Screen,Munn Face Recognition Task,Paired Associates Learning,Prospective Long-Term Memory Test,Prose Recall,Rivermead Behavioral Memory Test,Reversal Learning Task,Rey Auditory Verbal Learning Test,Rey Word Recognition Test,Scenery Picture Memory Test,Silly Sentences Task,Thurstone's Picture Memory Test,Visual Patterns Test,Verbal Learning Test,WAB Reading commands,WAB Writing commands,WAIS Digit Span,World Health Organization-University of California-Los Angeles Auditory Verbal Learning Test,Wechsler Memory Scale Digit Span,Wechsler Memory Scale Face recognition,Wechsler Memory Scale Letter number,Wechsler Memory Scale Logical memory,Wechsler Memory Scale Spatial Span,Wechsler Memory Scale Verbal Paired Associates,Wechsler Memory Scale Visual reproduction,Word Recognition,Working Memory Span
ACTIVE,,,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,92,0,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSA,1992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaPS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
CLSA,2010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSHA,1991,2002,0,0,12,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,132,0,0,0,0,0,0,0,46,0,0,0,0,44,0,0,0,0,4
DCS_1905,,,0,0,0,0,0,0,0,0,0,4,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELSA,,,0,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELIAD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
HRS,1992,,0,0,0,0,0,0,0,0,0,179,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOCOA,2007,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LASA,1992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
LBC1936,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,1,31,9,16,0,0,0
LBLS,,,0,0,0,0,0,0,0,0,0,10,0,0,28,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6
LGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,120,0,0,0,0,0
SydneyMAS,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
MCSA,,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,36,0,0,0,0,81,0,0,81,0,0
MIDUS,,,0,0,0,0,0,0,0,0,0,58,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CogUSA,,,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OATS,,,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
OBAS,1989,,0,0,0,0,6,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,0,0,4,2,54,0,0,8,0,0
OCTO_Twin,1991,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,19,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
PATH,,,0,0,0,0,0,0,0,0,0,156,0,0,156,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSPER,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
SATSA,,,0,0,0,0,0,9,0,0,0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,24,0,0,0,0,0,6,0
SEBAS,2000,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
