Study	Start	End	Alphabet Coding Task	Choice Reaction Time	Letter comparison test	Number comparison	Perceptual Speed 	Pattern comparison	Reaction Time and Accuracy	Simple Reaction Time	Symbol Digit Modalities Test	WAIS Digit Symbol test
ACTIVE	1998	2008	0	152	0	0	0	0	0	0	5240	0
ALSA	1992		0	0	0	0	0	0	0	0	54	0
CaPS	1979		0	2	0	0	0	0	0	0	0	0
CLS	1990	2002	0	160	0	0	0	0	0	160	0	8
DEAS	1996		0	0	0	0	0	0	0	0	0	36
LASA	1992		33	0	0	0	0	0	0	0	0	0
LBLS	1978		0	0	5	5	0	5	0	0	0	0
SydneyMAS	2005		0	0	0	0	0	0	0	0	4	0
MIDUS	1995		0	0	0	0	0	0	12	0	0	0
OBAS	1989		0	32	0	0	0	0	0	18	2	4
OCTO.Twin	1991	2002	0	0	0	0	16	0	0	0	110	0
PATH	1999		0	0	0	0	0	0	0	0	9	0
SATSA	1984		0	0	0	0	0	0	0	0	31	0
SNAC.K	2001		0	0	0	0	0	36	0	0	0	0
TILDA	2009		0	35	0	0	0	0	0	0	0	0
